,date,chain,project,pool,symbol,tvlUsd,tvlChange1d,tvlChange7d,apy,apyMean7d,apyStd7d,apyMean30d,apy7DStdRatio,SD_Score,SD_Score_7D_avg,stablecoin
266893,2023-12-17,Ethereum,makerdao,c8a24fee-ec00-4f38-86c0-9f6daebc4225,DAI,1537978224.0,-0.7712556896135259,-7.031853689940471,5.0,5.0,0.0,5.0,inf,36.22377622377622,37.49309305892477,True
290430,2023-12-17,Tron,justlend,dac406f6-5600-437e-849d-f03daa383864,USDT,217172759.0,-0.5886062083519494,1569.301416570694,0.2279,1.2508642857142858,1.626177003228301,1.72604,0.7692054943779545,15.23409457675192,21.739837058037857,True
113385,2023-12-17,Tron,justlend,53b3663f-9096-49df-8787-f6ea3b6d0612,USDD,213433168.0,-0.19043922120536294,-0.09005664266229507,5.20713,5.203607142857143,0.004391889169571854,5.16551,1184.822053094846,37.91892024059857,38.90942558723335,True
49390,2023-12-17,Ethereum,curve-dex,25171c4c-1877-449a-9f88-45a9f153ee31,DAI-USDC-USDT,195370202.0,0.0,-0.31145278372440854,2.21928,2.191605714285714,0.21769936930371092,1.66723,10.067120181814674,20.097608685021275,20.02798675522673,True
86538,2023-12-17,Ethereum,curve-dex,3f6aa14f-eb0c-4738-bf74-8bc666f7d2b1,FRAX-USDC,132962625.0,0.0,-1.0080916246726246,2.56291,2.6594985714285713,0.1416561724065837,2.74943,18.77432184031655,22.593965475084357,24.095480780279868,True
224651,2023-12-17,Ethereum,frax,a61791ea-2886-4428-991c-7181d26a6062,FPI-FRAX,92801733.0,0.0034601844197457154,0.011765172967126425,0.0026,0.005328571428571492,0.006541568182506928,0.01379,0.8145709530049446,0.8362267103525843,0.9829191244434933,True
23371,2023-12-17,Ethereum,uniswap-v3,1193ef25-862b-43c1-a545-91bbb9678d30,DAI-USDC,91178297.0,0.026797545732293315,-4.71080217706964,5.09888,1.1864428571428571,1.7362697979453376,0.27448,0.6833286270065094,14.832607951489072,9.782186457147555,True
199320,2023-12-17,Ethereum,arrakis-v1,94c6fd56-9837-4202-9ece-db02a9ac1171,DAI-USDC,90869164.0,-0.025247515427961886,-4.77425532431508,0.41062,0.3164842857142857,0.11740786357213023,0.23289,2.69559700760462,7.585065284365984,6.717494754918852,True
280584,2023-12-17,Ethereum,uniswap-v3,d371fc69-9a77-4336-a129-ec79c9548266,FRAX-USDC,89048590.0,-0.2104947544516289,-0.2360415660538795,0.02671,0.03770428571428571,0.032326506078418096,0.03777,1.1663582084256838,1.877549024402171,3.7274242696950837,True
251598,2023-12-17,Ethereum,convex-finance,bd072651-d99c-4154-aeae-51f12109c054,FRAX-USDC,88502042.0,-0.0013027778262730827,-0.2833476255359457,4.00569,4.205255714285714,0.26196505217677524,4.50939,16.05273558187444,31.13149787275662,33.273075338111525,True
266659,2023-12-17,Ethereum,goldfinch,c89af47f-032a-4c59-bdc9-17a7f1514a3b,USDC,78547883.0,-0.09990024855636159,-0.1043165420505976,7.77212,7.76617142857143,0.005875348024414047,7.54243,1321.8232173311906,51.73358110421047,52.3890014538631,True
51311,2023-12-17,Ethereum,uniswap-v3,26298be5-691a-42e6-817b-07f72e70cd4f,DAI-USDC,54338744.0,0.14050033259613848,-7.694600680313657,0.26238,0.09803285714285714,0.09100960072327248,0.12452,1.0771705002963354,3.1920387305002693,2.519942791347613,True
271240,2023-12-17,Ethereum,compound,cc110152-36c2-4e10-9c12-c5b4eb662143,DAI,54309007.0,-1.2326682987186088,3.991172211610805,5.57329,5.573224285714285,0.2745697500853034,5.14362,20.2980273099378,39.803022152672504,39.8717286840382,True
47800,2023-12-17,Ethereum,arrakis-v1,2431aeec-d0b9-4e62-ab5e-ff8718ad45fc,DAI-USDC,53561587.0,-0.02583460462508569,-7.875838885945741,0.26033,0.40212142857142846,0.3751448580405767,1.02616,1.0719097435368126,8.869675778766688,13.242213517510676,True
15494,2023-12-17,Cronos,tectonic,0c3c1b07-7c36-4fbb-8e71-226e02bf15c1,USDC,51717628.0,-0.11829533585894225,-9.773715113629011,2.72197,2.6803999999999997,0.13100679384418729,2.37711,20.460007617528056,22.504767959313412,23.204094588461324,True
302198,2023-12-17,Ethereum,spark,e26ce7d9-db75-4aa4-b1db-cc21ae17bdfb,DAI,47892999.0,-12.409262894843476,-16.32942291199995,5.10904,5.017171428571429,0.08149658365615896,4.81903,61.562966243337314,35.98219961856326,37.15733811012769,True
308230,2023-12-17,Ethereum,uniswap-v3,e737d721-f45c-40f0-9793-9f56261862b9,USDC-USDT,47094012.0,-0.08195806383944904,-2.6453847362704397,6.23336,4.478310000000001,1.2633601167389765,4.31257,3.544761260597296,32.77597926548975,33.09002990705721,True
240005,2023-12-17,Cronos,tectonic,b37c26c3-848f-45f0-bd75-af97f1674a4d,USDT,44429666.0,-0.08513853649376735,-0.06371183079325604,1.92753,1.9311242857142858,0.005904012356499761,1.91888,327.08676220643406,18.31116436011541,19.48675789313297,True
151123,2023-12-17,Ethereum,curve-dex,71a56b67-3123-4820-a30f-fac238de441c,ALUSD-FRAXBP,43922586.0,0.0,0.030166702573986015,5.75352,5.922618571428572,0.2382580473931749,5.50689,24.858000123097753,41.77514792899408,43.502538045801835,True
263581,2023-12-17,Ethereum,convex-finance,c6226295-5d9f-4d51-bc9b-280f9d6a7594,ALUSD-FRAXBP,43647306.0,-0.13977633589882243,-0.11640532431412831,9.38138,9.678772857142858,0.3188218024076679,8.8982,30.357939087135897,59.8928064942051,61.49576542034516,True
